kata,bobot
sma,-0.3178057086964554
silah,-0.317714230989853
jelass,-0.3170167976808089
pilih,-0.3169957588695476
mandiri,-0.31557194974104086
hadehh,-0.3154048333287682
belit,-0.31328224950036543
paket,-0.31220725041867115
ngisi,-0.3117801705660645
slalu,-0.3111429396632022
autodebet,-0.3108199941767404
rujuk hilang,-0.31034928445291177
gabisaa,-0.30969520156460717
susah akses,-0.30911332222634585
cape,-0.30901116963878705
tlong,-0.3087407487256765
susah guna,-0.3084337253711553
publik,-0.3082192520285578
kosong,-0.30805009176343695
kelola,-0.3062633272989453
terus,-0.3052992892952326
guna mudah,-0.30402253113885663
putus,-0.30400109563788236
mesti,-0.30349088311409184
abis,-0.30288184274536895
it,-0.3025420372718478
robot,-0.302433892480176
gbsa,-0.3023165351327031
bintang kasih,-0.30224533198029463
banyak baru,-0.3022247999308394
guna daftar,-0.3022028979511631
gaje,-0.3020759003696644
monyet,-0.3015826985478386
nda,-0.301067757700782
sering,-0.3003559414989651
daftar ribet,-0.29963113382219486
sok,-0.2994178219267617
aduh,-0.2992458736053125
rakyat,-0.2990199921830114
wkwkwk,-0.29885404296392926
auto debit,-0.2978915317170238
pulsa,-0.29760027293318353
verivikasi wajah,-0.2969754398030492
abad,-0.2967702235177837
malam,-0.29539607245912414
temu,-0.29426515528632385
telepon,-0.2940474196477885
debit,-0.2937853454163234
baik mudah,-0.29343155081922384
berat,-0.29286677708050163
abal abal,-0.2922493039974815
diinstall,-0.2922126693736968
nmr,-0.2918777545098001
potong,-0.29134173426396026
surat rujuk,-0.29055580542493337
skrining,-0.28919225861912456
antre fasilitas,-0.28870417177963
konoha,-0.2882728923397231
apa,-0.28739813155371774
ajah,-0.2871223143218762
gaguna,-0.2864815054959903
nggk,-0.2858745903963324
stress,-0.2858624788099347
kelas,-0.2849280261843742
internet lancar,-0.2848245997154924
kalah,-0.2839357497003772
asu,-0.2837804281616051
kerja,-0.28369671739333463
game,-0.2825918577346437
gimna,-0.28224024664432706
smua,-0.2805219222496842
bom,-0.2801208214653785
debet,-0.2792583310653172
jlas,-0.278959059415744
sulit masyarakat,-0.2789130325213962
siang,-0.27827511306964303
hapus aja,-0.2779400851707674
males,-0.27747351916857815
manual,-0.27735106607131627
tekan,-0.277092714034922
pura,-0.27620168662654165
ajh,-0.27500209184894736
buka mudah,-0.2748927983448595
urut,-0.2748059347445004
msuk,-0.274781297724401
detik,-0.274331793472
terussss,-0.27368274734527037
sllu,-0.27216748763424636
dftr,-0.2719111863666966
padah,-0.27059178925612715
sebel,-0.2704947204287658
terima otp,-0.26889256145320856
mumet,-0.26809599410364
telfon,-0.268004327334074
keburu mati,-0.26724873997867094
gmn,-0.26718262975537194
besok,-0.26668138439309463
ribetttt,-0.26630428449364235
mutar,-0.2661945293143295
jaring lancar,-0.26589798518931695
ja,-0.26578883640688583
pliss,-0.265669965445299
layar hitam,-0.2655040413493562
dukcapil,-0.2653698526635445
ram,-0.26433585982096314
tera,-0.26415501528372853
sengsara,-0.2634071727395094
buka layar,-0.2632878963041571
anehh,-0.26306313645184726
nge,-0.26276502442518973
ilang,-0.26258080733461664
serius,-0.2624936097584822
data,-0.2624481284569712
ruet,-0.26239463115245565
kudu,-0.2615708840760101
kompeten,-0.26131770736481297
bukak,-0.26125138774029044
broken,-0.2602267329210779
jaman,-0.26005913643228457
otpnya,-0.2597888439515306
pke,-0.2590502482366156
hubung laden,-0.25875828071972
woi,-0.25873339894309394
tim,-0.2585784322295788
vertifikasi,-0.2573839518099198
pisah,-0.25737665019388456
jelekk,-0.25708241108232976
terlogout,-0.25700896629101055
ribet obat,-0.2568426708079439
dikit dikit,-0.2554471197773962
kau,-0.25516842651979676
daftarin,-0.25516815287385536
kemarin,-0.2545406040186431
paket data,-0.2543232463027134
msih,-0.2542995190277469
koq,-0.25386535885024053
status,-0.25379972502376624
parah aplikasi,-0.25355194964219224
habis baru,-0.25337241142669764
taik,-0.25329276828466624
macem,-0.2529554758210465
nomor telpon,-0.25295503528555496
ngeblank,-0.25263485605572183
layan sulit,-0.2525079071729537
lha,-0.2523075957126409
ribetnya,-0.2519891455891536
sebentar,-0.2516599973284292
opsi,-0.2513338044186837
cahaya,-0.251303777424388
milik,-0.2510444876857293
bagusin,-0.2505565410978356
sebal,-0.250432657574977
ora,-0.2503910352458918
ngirim,-0.2502698501138098
screening,-0.24986040487991776
buka muat,-0.24918175680808377
nunggunya,-0.24915840055733252
wae,-0.2489645576054485
masukin data,-0.24877406340572972
kasi,-0.2480473394158131
beda,-0.24745261788408818
